review_id,business_id,business_name,city,state,categories,date,stars,sentiment_label,sentiment_score,key_phrases
pgESDcC7eDx4z_epqon4_Q,plobBsTtVUODb353xxFT_g,Sushi Rose,Reno,NV,"{Sushi Bars,Restaurants}",2014-10-27,1.0,mixed,0.12,"[""half an hour"", ""sweet mustard sauce"", ""One roll"", ""bright side"", ""order"", ""servers"", ""tables"", ""top"", ""rolls"", ""extras"", ""menu""]"
HyD8P-CcFU3FR75T0dJAhA,HCqmx4ENAZ76SAjoalj-MQ,Puckett's Grocery & Restaurant,Franklin,TN,"{Barbeque,American (Traditional),Arts & Entertainment,Southern,Breakfast & Brunch,Comfort Food,Nightlife,Music Venues,Restaurants,Food,Grocery}",2017-03-03,4.0,positive,0.99,"[""fried green tomatoes"", ""fried bologna sandwich"", ""peach cobbler dessert"", ""down side"", ""chicken salad"", ""ice cream"", ""restaurant"", ""everyone"", ""meals"", ""sauce"", ""friends"", ""cheeseburger""]"
S1sW-mCzdO1Qhb4Fq7ZKoA,AWJyivVwe3t9BO-k8D0ynQ,Cafe Square One,Philadelphia,PA,"{Food,Coffee & Tea,Cafes,Salad,Sandwiches,Sushi Bars,Restaurants,Breakfast & Brunch}",2017-06-17,3.0,negative,0.01,"[""Food"", ""cafe"", ""place""]"
W1feLyzh7XPyHrgU-tOXPA,sLgIenN5t-fFALQUkOvCyQ,Ralph's Market,Moorestown,NJ,"{Food,Seafood Markets,Delis,Specialty Food,Meat Shops,Butcher,Restaurants}",2018-02-01,5.0,positive,0.99,"[""Chicken parm"", ""place"", ""Everything"", ""Portions"", ""stuff""]"
sgvNB37eQ9wJYOBv1lmwDA,ziFtaIQdzQfFL79iLTq_zQ,Zac's Hamburgers,Folsom,PA,"{Burgers,Restaurants}",2016-11-10,3.0,mixed,0.78,"[""bad little burger joint"", ""tiny burger portion"", ""burger grease"", ""perfect thickness"", ""chocolate shake"", ""bacon cheeseburger"", ""bun"", ""crust"", ""fries"", ""3 complaints"", ""place""]"
2o29ryFidt0awbmqdVSjpg,kGMDSF0YpNwJ-c2BN5yBpw,Dantes Ristorante Pizzeria,East Norriton,PA,"{Restaurants,Pizza}",2013-12-07,3.0,mixed,0.62,"[""one bite"", ""redtop pizza"", ""good pizza"", ""place"", ""shot"", ""reviews"", ""yelp"", ""food"", ""street"", ""Charlie"", ""meal""]"
l6NxhAWgZoww3mKKjpFdXg,NcO-pWiZmNM5zBg8H9zB6Q,La Tavola Ristorante Italiano,Smyrna,TN,"{Food,Pizza,Event Planning & Services,Italian,Caterers,Restaurants}",2015-12-05,3.0,mixed,0.13,"[""Friday night"", ""20 minute wait"", ""place"", ""service"", ""Hit"", ""miss"", ""server"", ""mark"", ""food""]"
J96EFyLE15P-VH5kCyxGWA,gwNlSSV0hGgNgTqPprj4FQ,Fresh Cafe and Catering,Tucson,AZ,"{Coffee & Tea,Cafes,Food,Bakeries,Juice Bars & Smoothies,Restaurants,American (Traditional)}",2012-08-15,2.0,negative,0.0,"[""service / product"", ""last visit"", ""little acknowledgement"", ""Vienna Latte"", ""extra shot"", ""worst espresso"", ""prior posts"", ""worst experiences"", ""Fresh"", ""par"", ""group"", ""people"", ""price"", ""staff"", ""inside"", ""drinks"", ""coffee"", ""products""]"
5zWhnq05f3r6ntTqHUF5LA,DTIKGgzoKGLCNw2dNKfHZg,Lanna Culinary School and Events Center,Reno,NV,"{Specialty Schools,Cooking Schools,Education,Restaurants,Sandwiches,Thai}",2013-06-24,4.0,mixed,0.73,"[""chicken pad keo mao"", ""living social deal"", ""pub height tabletops"", ""other pad thai"", ""thai iced tea"", ""pad thai noodles"", ""lunch sized portion"", ""shrimp spring rolls"", ""shrimp pad thai"", ""good sour flavor"", ""thai fan"", ""Thai chili"", ""other places"", ""chai tea"", ""drunken noodles"", ""4-5 stars"", ""one visit"", ""first visit"", ""quaint house"", ""family style"", ""shredded lettuce"", ""individual components"", ""pepper flakes"", ""tom yum"", ""veggie version"", ""less veggies"", ""red pepper"", ""baby corns"", ""cooking classes"", ""regular kitchen"", ""first time"", ""total cost"", ""peanut sauce"", ""straw mushrooms"", ""orange-y' sauce"", ""fresh ingredients"", ""button mushrooms"", ""food"", ""things"", ""preferences"", ""dad"", ""town"", ""coupon"", ""ipod"", ""website"", ""check"", ""sirracha"", ""name"", ""instance"", ""meat"", ""server"", ""soup"", ""cabbage"", ""broccoli"", ""owner"", ""portions"", ""Reno"", ""Ernie"", ""dish"", ""lots"", ""course"", ""spicy"", ""husband"", ""business"", ""area"", ""steal"", ""facebook"", ""focus"", ""side"", ""woks"", ""home"", ""authentic"", ""quality"", ""service"", ""pictures"", ""bill"", ""change"", ""appetizer"", ""drink""]"
pQI_GEr0fOd3cq48-7-f5w,mcr1lAEdvGLMJhuPwI3I2A,101 Taiwanese Cuisine,Reno,NV,"{Food,Restaurants,Chinese,Bubble Tea,Taiwanese}",2013-02-21,3.0,mixed,0.43,"[""teeny tiny Chinese restaurant"", ""chaotic seating arrangement"", ""beef noodles"", ""fried rice"", ""shrimp spring"", ""higher points"", ""three stars"", ""long weekend"", ""place"", ""owner"", ""tables"", ""people"", ""staff""]"
